ID	Predicted_Flag	Invalid_prediction_Probability	Valid_prediction_Probability
24487211	0	0.9978435517159822	0.0021564482840178392
15486188	1	0.1569708990923412	0.8430291009076588
15486576	1	0.028062136705811147	0.9719378632941889
15486584	0	0.0	0.0
15487192	1	0.4958767607154023	0.5041232392845977
15487412	0	0.6181781647326633	0.3818218352673367
15487429	0	0.6546630792235837	0.34533692077641626
15487256	1	0.4958767607154023	0.5041232392845977
15487438	0	0.0	0.0
15487902	1	0.4958767607154023	0.5041232392845977
15487903	1	0.4958767607154023	0.5041232392845977
15487937	1	0.009703428968891314	0.9902965710311087
15487938	1	0.1409425446233925	0.8590574553766075
15487939	1	0.013975910688136417	0.9860240893118636
15487940	1	0.04553325321415469	0.9544667467858453
15487941	1	0.039647410158410334	0.9603525898415897
15488030	1	0.040082951088802554	0.9599170489111974
15488032	1	0.43700853641416504	0.562991463585835
15489665	1	0.35858817002281484	0.6414118299771852
15489649	0	0.7692381979478025	0.23076180205219757
15489650	0	0.8759188191882873	0.12408118081171272
15490425	1	0.37234718130048194	0.6276528186995181
15490432	0	0.7545572166102901	0.2454427833897099
15490443	0	0.7836548089613803	0.21634519103861968
15489940	1	0.4958767607154023	0.5041232392845977
15490059	1	0.4958767607154023	0.5041232392845977
15490060	1	0.4958767607154023	0.5041232392845977
15490079	0	0.862239243197236	0.13776075680276398
15490080	0	0.5880841327142767	0.4119158672857232
15490081	0	0.9015524510505466	0.09844754894945339
15490085	0	0.709308275007416	0.29069172499258394
15490262	0	0.6409890647524527	0.35901093524754735
15490719	0	0.7700948232307753	0.22990517676922473
24500592	0	0.0	0.0
